,Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
200,200,4,09/15/18,03:30:00 PM,Sat,(19) Michigan,45,,Southern Methodist,20,Michigan Stadium - Ann Arbor Michigan
201,201,4,09/15/18,03:30:00 PM,Sat,Minnesota,26,,Miami (OH),3,TCF Bank Stadium - Minneapolis Minnesota
202,202,4,09/15/18,07:30:00 PM,Sat,(16) Mississippi State,56,,Louisiana,10,Davis Wade Stadium - Starkville Mississippi
203,203,4,09/15/18,07:30:00 PM,Sat,Missouri,40,@,Purdue,37,Ross-Ade Stadium - West Lafayette Indiana
204,204,4,09/15/18,03:30:00 PM,Sat,Navy,51,,Lehigh,21,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
205,205,4,09/15/18,07:00:00 PM,Sat,Nevada,37,,Oregon State,35,MacKay Stadium - Reno Nevada
206,206,4,09/15/18,10:00:00 PM,Sat,Nevada-Las Vegas,46,,Prairie View A&M,17,Sam Boyd Stadium - Las Vegas Nevada
207,207,4,09/15/18,08:00:00 PM,Sat,New Mexico,42,@,New Mexico State,25,Aggie Memorial Stadium - Las Cruces New Mexico
208,208,4,09/15/18,04:00:00 PM,Sat,North Texas,44,@,Arkansas,17,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
209,209,4,09/15/18,03:30:00 PM,Sat,Northern Illinois,24,,Central Michigan,16,Huskie Stadium - DeKalb Illinois
210,210,4,09/15/18,02:30:00 PM,Sat,(8) Notre Dame,22,,Vanderbilt,17,Notre Dame Stadium - South Bend Indiana
211,211,4,09/15/18,08:00:00 PM,Sat,(4) Ohio State,40,,(15) Texas Christian,28,AT&T Stadium - Arlington Texas
212,212,4,09/15/18,12:00:00 PM,Sat,(5) Oklahoma,37,@,Iowa State,27,Jack Trice Stadium - Ames Iowa
